temperature,run,tags,latency_ms
0.7,1,"[""lodash"", ""vulnerability"", ""prototype-modification""]",9078.48
0.7,2,"[""lodash"", ""vulnerability"", ""security""]",1397.78
0.7,3,"[""lodash"", ""vulnerability"", ""denial-of-service""]",1223.16
0.7,4,"[""lodash"", ""vulnerability"", ""prototype-modification""]",1396.44
0.7,5,"[""vulnerability"", ""lodash"", ""denial-of-service""]",1461.88
0.7,6,"[""vulnerability"", ""lodash"", ""object-prototypes""]",1228.85
0.7,7,"[""lodash"", ""vulnerability"", ""object-proto""]",1389.98
0.7,8,"[""lodash"", ""prototype pollution"", ""security vulnerability""]",1403.78
0.7,9,"[""JavaScript"", ""lodash"", ""vulnerability""]",1459.45
0.7,10,"[""JavaScript"", ""Security"", ""lodash""]",2373.2
0.7,11,"[""lodash"", ""vulnerability"", ""security""]",1571.41
0.7,12,"[""lodash"", ""vulnerability"", ""security""]",1285.97
0.7,13,"[""lodash"", ""vulnerability"", ""security""]",1262.31
0.7,14,"[""JavaScript"", ""lodash"", ""security""]",1364.04
0.7,15,"[""vulnerability"", ""lodash"", ""object-prototypes""]",1528.54
0.7,16,"[""lodash"", ""vulnerability"", ""security""]",1188.68
0.7,17,"[""JavaScript"", ""Security"", ""lodash""]",1303.86
0.7,18,"[""lodash"", ""vulnerability"", ""object-prototypes""]",1321.11
0.7,19,"[""lodash"", ""prototype"", ""vulnerability""]",1170.37
0.7,20,"[""lodash"", ""vulnerability"", ""object-proto""]",1243.62
0.0,1,"[""lodash"", ""vulnerability"", ""security""]",1214.18
0.0,2,"[""lodash"", ""vulnerability"", ""security""]",1177.05
0.0,3,"[""lodash"", ""vulnerability"", ""security""]",1166.62
0.0,4,"[""lodash"", ""vulnerability"", ""security""]",1302.15
0.0,5,"[""lodash"", ""vulnerability"", ""security""]",1278.47
0.0,6,"[""lodash"", ""vulnerability"", ""security""]",1238.21
0.0,7,"[""lodash"", ""vulnerability"", ""security""]",1238.75
0.0,8,"[""lodash"", ""vulnerability"", ""security""]",1199.27
0.0,9,"[""lodash"", ""vulnerability"", ""security""]",1187.04
0.0,10,"[""lodash"", ""vulnerability"", ""security""]",1180.07
0.0,11,"[""lodash"", ""vulnerability"", ""security""]",1155.77
0.0,12,"[""lodash"", ""vulnerability"", ""security""]",1158.79
0.0,13,"[""lodash"", ""vulnerability"", ""security""]",1164.14
0.0,14,"[""lodash"", ""vulnerability"", ""security""]",1213.57
0.0,15,"[""lodash"", ""vulnerability"", ""security""]",1212.94
0.0,16,"[""lodash"", ""vulnerability"", ""security""]",1197.14
0.0,17,"[""lodash"", ""vulnerability"", ""security""]",1175.4
0.0,18,"[""lodash"", ""vulnerability"", ""security""]",1150.97
0.0,19,"[""lodash"", ""vulnerability"", ""security""]",1236.37
0.0,20,"[""lodash"", ""vulnerability"", ""security""]",1176.04
